ID	Species	Range	sd.phy	sd.rg	Latitude	Longitude	meanT0	meanT1	Haldane	P_Rescue	P_RescueP	rescuep_save_05	rescuep_save_095
1	Oreophryne_furu	1	2.631188884	2.631188884	-3.5	138.5	21.18428258	24.66784979	0.032291507	0.731	1	0	1
2	Incilius_majordomus	1	7.119176897	7.119176897	7.5	-80.5	25.91156037	28.84440572	0.009154758	1	1	0	1
3	Callulops_doriae	19	2.272544609	2.272544609	-8.5	146.9736842	23.85331813	27.06665474	0.03448736	0.636	1	0	1
4	Hynobius_arisanensis	4	1.690451212	1.690451212	23	121	23.01708531	26.04090362	0.041599163	0.3	0.967	0	1
5	Osteocephalus_mimeticus	29	2.652684401	2.652684401	-6.5	-76.29310345	21.72734406	26.06889171	0.037196863	0.518	0.999	0	1
6	Raorchestes_luteolus	4	0.862749928	0.862749928	14	75	24.94204399	28.33213894	0.093557291	0	0	1	0
7	Ischnocnema_spanios	2	2.241921702	2.241921702	-23.5	-46	20.88382915	24.50801719	0.032990903	0.704	1	0	1
8	Xenorhina_anorbis	2	1.431527408	1.431527408	-5	141	20.86060248	24.27528364	0.050751938	0.034	0.678	0	0
9	Rhacophorus_prominanus	20	0.918270803	0.918270803	2.8	100.6	25.50275508	28.77214127	0.080917559	0	0.001	1	0
10	Eurycea_robusta	1	1.941203924	1.941203924	29.5	-97.5	19.84939399	23.92452646	0.047710931	0.081	0.828	0	0
11	Trachycephalus_venulosus	1171	2.360831758	2.360831758	-5.476942784	-62.16780529	24.15538724	28.54118762	0.038702818	0.443	0.992	0	1
12	Peltophryne_lemur	4	1.785005872	1.785005872	18.25	-66.25	25.6066763	28.24152838	0.03354779	0.65	1	0	1
13	Brachycephalus_tridactylus	1	2.929137815	2.929137815	-25.5	-48.5	21.37395521	24.81982118	0.026142436	0.928	1	0	1
14	Allobates_trilineatus	108	3.261860728	3.261860728	-8.824074074	-71.10185185	23.39413326	28.07101956	0.028676186	0.86	1	0	1
15	Balebreviceps_hillmani	1	1.449022864	1.449022864	6.5	39.5	16.14937984	19.72311515	0.051381397	0.031	0.698	0	0
16	Leptodactylus_colombiensis	35	2.630574028	2.630574028	5.042857143	-74.81428571	20.35731194	24.47673029	0.033318659	0.68	1	0	1
17	Petropedetes_johnstoni	32	1.429573279	1.429573279	1.0625	10.1875	24.13336735	27.59269854	0.052605105	0.006	0.629	0	0
18	Bolitoglossa_nigrescens	2	3.029384487	3.029384487	9.5	-84	25.55372881	28.64637774	0.021268408	0.992	1	0	1
19	Cophixalus_saxatilis	1	2.366387938	2.366387938	-15.5	145.5	25.08861478	28.24926922	0.026712902	0.908	1	0	1
20	Eleutherodactylus_apostates	2	0.283239831	0.283239831	18.5	-74	26.73596093	29.72133124	0.234223987	0	0	1	0
21	Gegeneophis_mhadeiensis	1	1.092537535	1.092537535	15.5	74.5	24.73661207	28.15081889	0.072674994	0	0.04	1	0
22	Telmatobius_contrerasi	1	2.393654734	2.393654734	-29.5	-68.5	12.03526091	16.39783763	0.045563972	0.147	0.873	0	0
23	Philoria_kundagungan	2	4.569554782	4.569554782	-28	152.5	17.20379236	21.02462486	0.017419788	1	1	0	1
24	Nymphargus_griffithsi	28	2.396694628	2.396694628	2.964285714	-76.92857143	20.71902169	24.46879909	0.039114051	0.4	0.985	0	1
25	Nanorana_arnoldi	4	0.102776509	0.102776509	28	98	5.588521531	10.1120021	1.100319668	0	0	1	0
26	Amolops_vitreus	1	1.987083062	1.987083062	22.5	102.5	16.26739043	20.30331959	0.050777057	0.037	0.708	0	0
27	Beddomixalus_bijui	1	2.559464993	2.559464993	10.5	77.5	24.3327451	27.89788118	0.033164819	0.716	1	0	1
28	Ptychadena_anchietae	659	2.810432456	2.810432456	-7.536418816	31.21775417	21.53167176	25.57629164	0.032707841	0.73	1	0	1
29	Aglyptodactylus_laticeps	1	2.691711021	2.691711021	-19.5	44.5	25.51572458	29.0137454	0.029535293	0.829	1	0	1
30	Litoria_aurifera	1	2.014599249	2.014599249	-15.5	125.5	26.27883313	29.54578273	0.034502925	0.609	1	0	1
31	Ichthyophis_hypocyaneus	4	3.588447943	3.588447943	-6.75	107.75	26.17604989	29.38426875	0.01943567	1	1	0	1
32	Arthroleptis_schubotzi	6	2.052368103	2.052368103	0	29.83333333	18.99825925	22.80668661	0.039481402	0.39	0.984	0	1
33	Arthroleptis_nikeae	1	0.962823626	0.962823626	-6.5	36.5	20.40321915	23.92193155	0.081212807	0	0.003	1	0
34	Eurycea_quadridigitata	111	2.431449233	2.431449233	31.52702703	-86.49099099	19.0164606	23.24089161	0.035457404	0.582	1	0	1
35	Meristogenys_whiteheadi	6	1.89672371	1.89672371	4.5	116	23.97164776	27.47680771	0.03850016	0.462	0.993	0	1
36	Pachymedusa_dacnicolor	46	4.030199464	4.030199464	20.65217391	-103.1521739	21.47245968	25.54558345	0.022458904	0.985	1	0	1
37	Leptolalax_hamidi	5	0.909340566	0.909340566	1.5	111.5	24.87191731	28.40988918	0.081056262	0	0	1	0
38	Phyllodytes_luteolus	31	1.022594647	1.022594647	-14.85483871	-38.75806452	23.91555159	27.10051965	0.06921322	0	0.102	1	0
39	Ichthyophis_lakimi	1	0.919062555	0.919062555	6.5	116.5	26.64505584	29.84993819	0.077491578	0	0.011	1	0
40	Dendropsophus_elianeae	26	1.731212205	1.731212205	-22.46153846	-53.34615385	23.12858534	27.91825858	0.065872825	0	0.155	1	0
41	Boophis_roseipalmatus	1	2.695618502	2.695618502	-12.5	49.5	26.18618654	29.2344863	0.026924643	0.922	1	0	1
42	Ambystoma_rosaceum	34	3.031970927	3.031970927	26.47058824	-106.8529412	16.31038133	20.73810517	0.031071172	0.795	1	0	1
43	Litoria_eurynastes	1	1.880063317	1.880063317	-5.5	145.5	22.45259762	25.74657566	0.038088195	0.47	0.994	0	1
44	Proceratophrys_carranca	1	1.433407115	1.433407115	-16.5	-44.5	23.41948883	27.79731622	0.062329407	0	0.251	1	0
45	Hylodes_amnicola	1	1.246989777	1.246989777	-22.5	-43.5	20.45208465	24.04855803	0.057682484	0	0.435	1	0
46	Pristimantis_adnus	1	0.825939233	0.825939233	8.5	-80.5	25.31249345	28.1958672	0.077578313	0	0.013	1	0
47	Plectrohyla_ephemera	1	6.018810216	6.018810216	16.5	-95.5	23.49637777	27.88629944	0.016208156	1	1	0	1
48	Craugastor_pelorus	4	2.169446634	2.169446634	17	-93	22.95068171	27.30979284	0.045666349	0.14	0.891	0	0
49	Amietophrynus_funereus	307	1.687026693	1.687026693	-4.486970684	21.04071661	21.92960286	25.92825129	0.051526831	0.026	0.702	0	0
50	Cardioglossa_trifasciata	2	2.342711746	2.342711746	5	9.5	22.77065661	26.34844288	0.038179967	0.453	0.994	0	1
51	Pristimantis_eremitus	5	0.705568887	0.705568887	0.7	-78.1	19.26818751	22.97179637	0.131227756	0	0	1	0
52	Discodeles_malukuna	1	1.435792679	1.435792679	-9.5	160.5	27.59524794	30.57640526	0.051907865	0.012	0.665	0	0
53	Leptodactylus_leptodactyloides	452	1.44977355	1.44977355	-4.079646018	-63.34734513	24.70305806	29.22353596	0.076050193	0	0.01	1	0
54	Plethodon_savannah	1	1.153616658	1.153616658	32.5	-81.5	18.45044094	22.80925462	0.082138914	0	0	1	0
55	Ceratobatrachus_guentheri	20	0.088118706	0.088118706	-7.7	157.85	27.67777063	30.69925485	0.699771318	0	0	1	0
56	Breviceps_sylvestris	6	1.256238844	1.256238844	-23.5	30	19.02327046	23.72773213	0.087090195	0	0	1	0
57	Sphaenorhynchus_lacteus	519	1.543483197	1.543483197	-3.829479769	-62.14354528	24.71365305	29.22692675	0.060918406	0	0.319	1	0
58	Pristimantis_ruedai	6	2.735760286	2.735760286	5.5	-76	20.21986769	24.13119781	0.031080543	0.778	1	0	1
59	Eleutherodactylus_maestrensis	1	1.189305181	1.189305181	20.5	-76.5	26.19868629	29.45502688	0.060844874	0	0.34	1	0
60	Pseudophilautus_amboli	1	0.657765009	0.657765009	15.5	74.5	24.73661207	28.15081889	0.12358614	0	0	1	0
61	Rhinella_acrolopha	2	0.95146826	0.95146826	8	-77.5	25.4375221	28.87701795	0.080331888	0	0.008	1	0
62	Plethodon_cylindraceus	31	2.258647739	2.258647739	36.30645161	-79.59677419	14.26534709	19.07777471	0.045333354	0.171	0.903	0	0
63	Pristimantis_juanchoi	1	2.814075902	2.814075902	4.5	-76.5	20.7589816	24.46204692	0.027414752	0.893	1	0	1
64	Gastrotheca_excubitor	4	2.221495217	2.221495217	-13	-73	9.496249217	13.81088773	0.043160505	0.234	0.929	0	0
65	Albericus_gudrunae	1	1.784278383	1.784278383	-4.5	145.5	26.16612219	29.32681093	0.037689577	0.454	0.998	0	1
66	Indirana_leptodactyla	4	2.416083576	2.416083576	11	77	23.93496027	27.47694615	0.032577845	0.715	1	0	1
67	Eleutherodactylus_rufescens	1	0.83941079	0.83941079	18.5	-102.5	22.33729739	26.65716758	0.125519816	0	0	1	0
68	Ichthyophis_acuminatus	1	4.07079361	4.07079361	18.5	98.5	22.52470555	26.13193658	0.018084179	1	1	0	1
69	Cycloramphus_faustoi	1	2.351728511	2.351728511	-23.5	-45.5	21.1758256	24.69973277	0.034055291	0.668	1	0	1
70	Callulops_wilhelmanus	6	1.353666936	1.353666936	-6	144.5	20.62061475	23.99749014	0.060844224	0	0.3	1	0
71	Leptodactylodon_erythrogaster	2	1.905938326	1.905938326	5	9.5	22.77065661	26.34844288	0.040808226	0.341	0.972	0	1
72	Phrynobatrachus_brevipalmatus	2	2.279784513	2.279784513	-9	13.5	26.08136803	29.264749	0.030355472	0.831	1	0	1
73	Pristimantis_leucopus	1	2.876390528	2.876390528	0.5	-77.5	17.73494689	21.66164861	0.028440605	0.877	1	0	1
74	Pristimantis_polychrus	6	1.115200244	1.115200244	5.5	-76	20.21986769	24.13119781	0.085543647	0	0	1	0
75	Boophis_pyrrhus	7	1.062053877	1.062053877	-19.21428571	48.35714286	20.1821537	23.46299497	0.065726546	0	0.161	1	0
76	Oscaecilia_osae	1	3.031970927	3.031970927	8.5	-83.5	25.7691976	28.82034614	0.021411173	0.985	1	0	1
77	Leptolalax_tamdil	1	1.335026485	1.335026485	23.5	92.5	22.05541024	25.97140677	0.068215641	0	0.116	1	0
78	Cardioglossa_nigromaculata	7	1.536154791	1.536154791	4.5	9.5	23.49182138	27.00453713	0.048653061	0.078	0.782	0	0
79	Rana_italica	31	1.671069612	1.671069612	41.59677419	13.56451613	16.31778154	20.64991712	0.056357233	0	0.469	1	0
80	Hyperolius_puncticulatus	1	1.037500709	1.037500709	-6.5	39.5	25.871675	29.08882368	0.06328294	0	0.233	1	0
81	Pristimantis_hybotragus	4	4.830663903	4.830663903	4	-77	22.46450661	25.91103839	0.015510208	1	1	0	1
82	Ptychadena_erlangeri	9	0.984926787	0.984926787	8.388888889	37.61111111	18.55246449	22.09423188	0.074916046	0	0.024	1	0
83	Platymantis_neckeri	9	1.568749662	1.568749662	-6.611111111	156.2777778	27.67401488	30.71564125	0.047289896	0.094	0.82	0	0
84	Leptopelis_fenestratus	1	1.189305181	1.189305181	0.5	29.5	19.25411089	23.20650927	0.073850746	0	0.028	1	0
85	Hyalinobatrachium_taylori	58	2.117271214	2.117271214	4.275862069	-58.5862069	23.83691618	28.14282007	0.043270308	0.23	0.924	0	0
86	Aubria_subsigillata	23	1.32627824	1.32627824	0.369565217	10.19565217	24.46976645	27.89196442	0.062934187	0	0.251	1	0
87	Fejervarya_murthii	1	1.059930262	1.059930262	11.5	76.5	23.53049014	27.05725781	0.069319963	0	0.099	1	0
88	Hylarana_parvaccola	1	4.69232615	4.69232615	-0.5	100.5	25.0286656	28.40747497	0.018001782	1	1	0	1
89	Petropedetes_cameronensis	9	2.138567068	2.138567068	4.5	9.5	23.550422	27.05822958	0.035657842	0.588	1	0	1
90	Crinia_pseudinsignifera	4	1.543483197	1.543483197	-32	115.5	19.36933606	23.34165123	0.054757541	0	0.544	0	0
91	Oreophryne_wolterstorffi	1	2.105175465	2.105175465	-5.5	145.5	22.45259762	25.74657566	0.03193275	0.749	1	0	1
92	Odorrana_aureola	2	1.545389438	1.545389438	17	101.5	23.31635432	26.91466546	0.058210427	0	0.426	1	0
93	Hyperolius_atrigularis	4	1.542831467	1.542831467	-8	30	19.61619539	23.70554656	0.061640686	0	0.244	1	0
94	Conraua_goliath	14	1.355785477	1.355785477	3.357142857	10.42857143	23.16846614	26.71225334	0.056822302	0	0.478	1	0
95	Dischidodactylus_duidensis	1	9.580546867	9.580546867	3.5	-65.5	21.94566609	26.59088017	0.010774644	1	1	0	1
96	Stefania_breweri	1	3.962353722	3.962353722	4.5	-67.5	21.84565459	26.10639195	0.025007085	0.947	1	0	1
97	Nymphargus_cristinae	1	1.817286204	1.817286204	6.5	-76.5	22.53642698	26.30583017	0.049385559	0.069	0.768	0	0
98	Anomaloglossus_rufulus	2	0.796763654	0.796763654	5.5	-62	21.3491101	26.20572194	0.132509205	0	0	1	0
99	Leptopelis_aubryioides	66	1.472710251	1.472710251	1.075757576	11.92424242	23.1373291	26.79582368	0.052855142	0.008	0.619	0	0
100	Leptopelis_karissimbensis	1	1.722939536	1.722939536	-1.5	29.5	17.1880571	21.12439715	0.05192421	0.016	0.701	0	0
101	Boophis_sibilans	2	1.775008182	1.775008182	-19	48.5	20.44031473	23.69085819	0.041620083	0.261	0.97	0	1
102	Bokermannohyla_sazimai	4	2.010166675	2.010166675	-20	-47	20.20791683	24.67070705	0.047236373	0.125	0.831	0	0
103	Hemiphractus_bubalus	17	1.384339797	1.384339797	-1.441176471	-77.20588235	20.28663939	24.36160076	0.065413634	0	0.161	1	0
104	Phrynella_pulchra	67	0.83529812	0.83529812	0.664179104	101.1119403	25.33616883	28.70504455	0.091662312	0	0	1	0
105	Phrynobatrachus_acutirostris	1	0.570987293	0.570987293	-2.5	29.5	16.9869089	20.90013955	0.148987959	0	0	1	0
106	Pseudoeurycea_galeanae	3	0.820865865	0.820865865	23.5	-99.83333333	16.14589794	20.47636413	0.125606804	0	0	1	0
107	Bufotes_turanensis	43	1.582322401	1.582322401	37.01162791	57.03488372	15.97347838	20.7959084	0.064844493	0	0.158	1	0
108	Proceratophrys_brauni	7	2.380142017	2.380142017	-28.5	-50.5	18.20131631	22.13470907	0.034428905	0.626	1	0	1
109	Batrachoseps_wrighti	6	1.539693405	1.539693405	44.5	-122	8.526840194	12.74653574	0.062286538	0	0.253	1	0
110	Euphlyctis_ghoshi	1	0.657765009	0.657765009	24.5	93.5	20.91698989	24.9881873	0.137543123	0	0	1	0
111	Niceforonia_adenobrachia	1	2.686263614	2.686263614	4.5	-75.5	17.69795265	21.77461769	0.030351936	0.811	1	0	1
112	Leptopelis_broadleyi	28	2.1050915	2.1050915	-17.5	34.82142857	22.20208837	26.67452219	0.050585221	0.037	0.71	0	0
113	Atelognathus_ceii	1	2.691711021	2.691711021	-44.5	-71.5	5.556315261	9.151328948	0.02841674	0.878	1	0	1
114	Amolops_gerbillus	19	6.913994434	6.913994434	27.07894737	94.07894737	14.90113361	19.20867804	0.013844849	1	1	0	1
115	Bolitoglossa_cuchumatana	2	1.339381607	1.339381607	15.5	-91	21.96841323	26.03244618	0.072244302	0	0.038	1	0
116	Barygenys_parvula	1	4.934404745	4.934404745	-4.5	145.5	26.16612219	29.32681093	0.013072266	1	1	0	1
117	Leptodactylus_jolyi	1	0.834193149	0.834193149	-23.5	-46.5	20.59183269	24.3163016	0.103831536	0	0	1	0
118	Quasipaa_yei	1	1.756066881	1.756066881	31.5	115.5	14.28419686	18.92698538	0.058752363	0	0.369	1	0
119	Ameerega_macero	15	4.55630221	4.55630221	-10.96666667	-71.96666667	21.9098898	26.59154477	0.021861956	0.987	1	0	1
120	Phyllobates_bicolor	1	0.301903387	0.301903387	4.5	-76.5	20.7589816	24.46204692	0.255536034	0	0	1	0
121	Amolops_longimanus	2	1.955574583	1.955574583	25.5	98	16.62603179	20.82538568	0.049938976	0.048	0.753	0	0
122	Gegeneophis_pareshi	1	0.970679237	0.970679237	14.5	74.5	25.51249691	28.80388399	0.078856004	0	0.007	1	0
123	Gephyromantis_salegy	3	0.886594782	0.886594782	-15.16666667	49.83333333	23.50443905	26.61715105	0.071650246	0	0.064	1	0
124	Dendropsophus_pelidna	1	2.894923999	2.894923999	7.5	-72.5	19.61164825	24.37100874	0.034979498	0.623	1	0	1
125	Phyllodytes_kautskyi	7	1.368768687	1.368768687	-18.64285714	-39.92857143	23.88202705	26.93155276	0.049509635	0.058	0.76	0	0
126	Rhyacotriton_olympicus	6	0.320727513	0.320727513	47	-123.5	9.664014374	13.39457511	0.276941862	0	0	1	0
127	Rhinoderma_rufum	7	0.628601578	0.628601578	-36.21428571	-72.5	14.19819784	17.76016445	0.128783938	0	0	1	0
128	Rhinella_castaneotica	280	0.789180962	0.789180962	-5.546428571	-61.32857143	24.8913797	29.46115989	0.141232567	0	0	1	0
129	Scinax_x.signatus	967	1.860435107	1.860435107	-7.454498449	-56.19803516	24.48756216	28.85080573	0.048860026	0.072	0.766	0	0
130	Atelopus_quimbaya	1	0.753641622	0.753641622	4.5	-75.5	17.69795265	21.77461769	0.125797409	0	0	1	0
131	Trachycephalus_mambaiensis	2	0.956805348	0.956805348	-13	-44.5	23.77123593	28.06685799	0.097598836	0	0	1	0
132	Eleutherodactylus_mariposa	1	2.690523552	2.690523552	20.5	-75.5	25.98838143	29.04855785	0.023212055	0.975	1	0	1
133	Ptychohyla_spinipollex	3	1.83004906	1.83004906	15.5	-86.5	24.40426023	27.70943816	0.040134661	0.366	0.986	0	1
134	Phyllomedusa_rohdei	24	1.905938326	1.905938326	-21.91666667	-43.875	20.60597209	24.17530307	0.044589098	0.188	0.91	0	0
135	Nothophryne_broadleyi	3	1.093081189	1.093081189	-15.5	36.5	21.88720616	26.38285476	0.100312737	0	0	1	0
136	Hypsiboas_lundii	83	1.903511655	1.903511655	-19.15060241	-46.76506024	21.73441706	25.93051152	0.047921663	0.098	0.805	0	0
137	Craugastor_pozo	1	0.956805348	0.956805348	16.5	-93.5	22.30093073	26.75682904	0.110882341	0	0	1	0
138	Osornophryne_bufoniformis	8	1.115200244	1.115200244	0.75	-77.375	18.77399876	22.68141956	0.0729955	0	0.045	1	0
139	Nyctimystes_kuduki	1	1.317315855	1.317315855	-6.5	143.5	20.37351475	23.75656622	0.059724185	0	0.367	1	0
140	Hyloxalus_vertebralis	4	1.641977395	1.641977395	-3	-79	21.28634481	24.97546534	0.052250111	0.017	0.657	0	0
141	Pristimantis_cruciocularis	1	5.060121625	5.060121625	-10.5	-75.5	15.43448898	19.88232556	0.019977226	0.996	1	0	1
142	Centrolene_scirtetes	3	2.361020277	2.361020277	0.5	-78.5	20.10466119	23.71138118	0.036371685	0.541	1	0	1
143	Callulops_sagittatus	1	0.496299772	0.496299772	-5.5	141.5	21.54070539	24.93677073	0.171069258	0	0	1	0
144	Ambystoma_cingulatum	20	1.572667717	1.572667717	31.25	-82.4	19.82462499	23.93183339	0.053298341	0.011	0.607	0	0
145	Ichthyophis_mindanaoensis	5	10.44668457	10.44668457	8.1	124.7	25.12606334	28.41631594	0.006999036	1	1	0	1
146	Leptolalax_melanoleucus	1	0.967076725	0.967076725	9.5	98.5	25.85565293	29.02990863	0.069836605	0	0.086	1	0
147	Pseudis_tocantins	29	0.607225861	0.607225861	-11.36206897	-49.0862069	25.61817301	30.023629	0.15771855	0	0	1	0
148	Gephyromantis_granulatus	7	2.072831734	2.072831734	-14.5	49.5	24.08792785	27.23625606	0.030997015	0.796	1	0	1
149	Diasporus_hylaeformis	2	3.961745736	3.961745736	10	-84	25.24217624	28.30799372	0.016121983	1	1	0	1
150	Pachytriton_feii	1	2.501967824	2.501967824	30.5	118.5	15.11814406	19.65448818	0.040291344	0.367	0.981	0	1
151	Limnonectes_khammonensis	1	1.114960215	1.114960215	18.5	105.5	22.06970127	25.47443367	0.063618346	0	0.238	1	0
152	Phyllobates_aurotaenia	6	1.540042133	1.540042133	4.5	-77	22.70315353	26.13906349	0.050705666	0.033	0.703	0	0
153	Ranitomeya_reticulata	17	1.193791439	1.193791439	-3.617647059	-75.20588235	23.9046368	28.26943366	0.07948364	0	0.006	1	0
154	Atelognathus_solitarius	1	1.263442904	1.263442904	-41.5	-70.5	6.33180499	10.25208962	0.070519513	0	0.083	1	0
155	Hyalinobatrachium_colymbiphyllum	28	2.987220349	2.987220349	7.107142857	-78.35714286	23.61001382	27.00489699	0.02418019	0.965	1	0	1
156	Gastrotheca_abdita	1	1.173232761	1.173232761	-5.5	-78.5	21.24904542	25.1382315	0.082873284	0	0.001	1	0
157	Hyloxalus_pinguis	1	2.530314622	2.530314622	2.5	-76.5	19.38596504	23.31083135	0.033720384	0.712	1	0	1
158	Arthroleptis_nimbaensis	1	1.111232182	1.111232182	7.5	-8.5	22.59394079	26.53182078	0.08053877	0	0	1	0
159	Plethodon_glutinosus	193	4.07079361	4.07079361	36.42746114	-82.61917098	14.36886175	19.12999045	0.024366301	0.96	1	0	1
160	Scutiger_muliensis	4	10.4842806	10.4842806	28	101	5.682621972	10.12801813	0.008833455	1	1	0	1
161	Aneides_vagrans	12	2.233561351	2.233561351	43.91666667	-124.8333333	11.78029313	15.41557245	0.038751687	0.454	0.991	0	1
162	Pristimantis_petrobardus	1	2.574129013	2.574129013	-6.5	-79.5	21.81476177	25.26603765	0.031922734	0.772	1	0	1
163	Duttaphrynus_atukoralei	2	3.141789539	3.141789539	6	81	26.82912178	29.86283154	0.022990459	0.984	1	0	1
164	Eleutherodactylus_lentus	1	1.536232987	1.536232987	17.5	-64.5	25.54302067	28.09211324	0.037711677	0.448	0.994	0	1
165	Anomaloglossus_atopoglossus	1	2.094130395	2.094130395	4.5	-76.5	20.7589816	24.46204692	0.036087897	0.607	1	0	1
166	Scinax_arduous	1	1.576223406	1.576223406	-19.5	-40.5	23.09611942	26.12471011	0.046863957	0.124	0.837	0	0
167	Phrynopus_peruanus	1	0.088193221	0.088193221	-11.5	-75.5	11.09995143	15.39689998	1.160047196	0	0	1	0
168	Austrochaperina_macrorhyncha	14	2.010567332	2.010567332	-3.571428571	135.7142857	23.52500954	26.85127991	0.038474277	0.42	0.992	0	1
169	Scotobleps_gabonicus	43	1.466414768	1.466414768	-0.174418605	10.87209302	23.92956805	27.45724306	0.055945259	0	0.501	0	0
170	Batrachoseps_kawia	1	2.072831734	2.072831734	36.5	-118.5	12.9019925	17.36556267	0.04486184	0.171	0.895	0	0
171	Pristimantis_moro	4	1.971173172	1.971173172	10	-84	25.37242105	28.40260025	0.032707374	0.709	1	0	1
172	Bokermannohyla_feioi	1	4.142738133	4.142738133	-21.5	-43.5	17.96832321	21.80252728	0.022573759	0.985	1	0	1
173	Cardioglossa_pulchra	1	1.626824048	1.626824048	5.5	10.5	21.20439199	24.97923113	0.047354558	0.096	0.833	0	0
174	Salamandra_lanzai	4	1.173232761	1.173232761	45	7	8.582993183	12.99007333	0.078257421	0	0.008	1	0
175	Microhyla_okinavensis	8	2.616935805	2.616935805	26.25	127.125	23.0905044	25.95784653	0.025481089	0.937	1	0	1
176	Mertensophryne_anotis	4	3.626592092	3.626592092	-20	33	21.28224093	25.71405405	0.027156276	0.913	1	0	1
177	Stumpffia_gimmeli	4	1.727112924	1.727112924	-14	48	25.26535192	28.52597863	0.038528692	0.439	0.996	0	1
178	Litoria_longirostris	4	0.093717867	0.093717867	-14	143	26.10715798	29.35785279	0.84599919	0	0	1	0
179	Scinax_longilineus	13	1.135876452	1.135876452	-20.88461538	-45.03846154	18.82096861	22.90157241	0.073315745	0	0.045	1	0
180	Scinax_baumgardneri	1	0.869003168	0.869003168	3.5	-65.5	21.94566609	26.59088017	0.121487529	0	0	1	0
181	Pristimantis_quantus	1	1.882703175	1.882703175	4.5	-76.5	20.7589816	24.46204692	0.040140561	0.348	0.975	0	1
182	Proceratophrys_redacta	1	4.443625577	4.443625577	-10.5	-40.5	23.22145017	27.21580711	0.019541216	0.999	1	0	1
183	Tylototriton_wenxianensis	13	3.127140551	3.127140551	30.96153846	108.5	10.87702799	15.53956252	0.030428362	0.81	1	0	1
184	Incilius_peripatetes	2	0.949973168	0.949973168	8.5	-82	24.83509576	27.74145137	0.069532003	0	0.082	1	0
185	Parhoplophryne_usambarica	1	1.20399668	1.20399668	-5.5	38.5	23.83883184	27.12806183	0.06504586	0	0.202	1	0
186	Rana_aurora	51	3.136963215	3.136963215	46.87254902	-123.9117647	8.233166033	12.44237379	0.032727067	0.712	1	0	1
187	Phrynopus_bracki	1	1.412131656	1.412131656	-10.5	-75.5	15.43448898	19.88232556	0.074993624	0	0.021	1	0
188	Elachistocleis_cesarii	1	1.950984229	1.950984229	-21.5	-47.5	19.69700132	24.44321533	0.060818201	0	0.292	1	0
189	Raorchestes_jayarami	1	2.436350159	2.436350159	9.5	76.5	26.10467218	29.43534649	0.028480737	0.898	1	0	1
190	Ansonia_latirostra	2	1.022594647	1.022594647	3.5	103	25.80399945	29.05140238	0.067567026	0	0.131	1	0
191	Batrachoseps_major	12	1.101129061	1.101129061	32.75	-116.9166667	18.9837482	22.57841975	0.079622743	0	0.004	1	0
192	Phyllomedusa_hypochondrialis	774	1.902396296	1.902396296	-9.166666667	-55.6873385	24.5869599	29.08745423	0.056326133	0	0.447	1	0
193	Gastrotheca_ossilaginis	1	2.493694868	2.493694868	-6.5	-77.5	17.63963003	21.9209443	0.041874529	0.294	0.953	0	1
194	Tomopterna_luganga	28	0.800659456	0.800659456	-5.785714286	34.89285714	19.46888981	23.31018495	0.104297046	0	0	1	0
195	Cardioglossa_cyaneospila	3	0.761901365	0.761901365	-2.833333333	29.16666667	17.66641192	21.58316655	0.116835531	0	0	1	0
196	Ichthyophis_kodaguensis	1	2.237500223	2.237500223	12.5	75.5	24.567603	27.95190031	0.035175232	0.59	1	0	1
197	Bolitoglossa_tzultacaj	1	2.540139916	2.540139916	15.5	-89.5	22.85534487	26.70507552	0.036964842	0.534	0.997	0	1
198	Cophixalus_verrucosus	14	1.198835737	1.198835737	-9.714285714	150.1428571	25.97074463	29.06608062	0.053790661	0.003	0.59	0	0
199	Pristimantis_wiensi	1	1.607303643	1.607303643	-5.5	-79.5	21.99824126	25.48191864	0.048164548	0.077	0.8	0	0
200	Pristimantis_riveroi	1	2.750151043	2.750151043	10.5	-67.5	24.92380317	27.8414666	0.023575783	0.973	1	0	1
201	Litoria_verae	1	2.241104316	2.241104316	-2.5	134.5	25.50211715	28.85825351	0.031862487	0.74	1	0	1
202	Strongylopus_bonaespei	9	1.313025218	1.313025218	-33.94444444	20.38888889	17.2704594	20.25715987	0.055479782	0	0.522	0	0
203	Noblella_myrmecoides	66	3.252992809	3.252992809	-8.636363636	-71.42424242	23.81542484	28.43440372	0.029581598	0.839	1	0	1
204	Eleutherodactylus_casparii	4	2.257111833	2.257111833	22	-80	25.96114692	29.19023266	0.029196475	0.85	1	0	1
205	Pseudoeurycea_praecellens	1	2.987220349	2.987220349	18.5	-96.5	18.59805118	22.54082807	0.030694919	0.814	1	0	1
206	Callulina_dawida	1	1.037032401	1.037032401	-3.5	38.5	22.76108239	26.01131006	0.063962492	0	0.182	1	0
207	Scinax_skaios	1	2.360831758	2.360831758	-14.5	-48.5	23.83526252	27.97918235	0.037346375	0.478	0.996	0	1
208	Nymphargus_bejaranoi	20	5.133131544	5.133131544	-17.35	-65.8	15.8901352	20.69732528	0.019112294	1	1	0	1
209	Atelopus_bomolochos	4	0.996829941	0.996829941	-3	-79	21.28634481	24.97546534	0.084110283	0	0.001	1	0
210	Osteocephalus_leprieurii	351	1.284416213	1.284416213	-3.873219373	-64.4002849	24.79888686	29.40900022	0.083471337	0	0.001	1	0
