ID	Species	Range	sd.phy	sd.rg	Latitude	Longitude	meanT0	meanT1	Haldane	P_Rescue	P_RescueP	rescuep_save_05	rescuep_save_095
6021	Callulops_eremnosphax	1	2.88427994	2.88427994	-7.5	146.5	22.45968478	25.7636921	0.027274343	0.912	1	0	1
6022	Pristimantis_zeuctotylus	88	0.854919288	0.854919288	2.488636364	-59.5	24.9129521	29.25202937	0.103580067	0	0	1	0
6023	Chiasmocleis_alagoanus	1	1.288745579	1.288745579	-9.5	-35.5	24.6917066	27.72826961	0.052360357	0.015	0.631	0	0
6024	Hyalinobatrachium_valerioi	29	2.380142017	2.380142017	4.155172414	-78.98275862	22.94171133	26.34603957	0.028606093	0.889	1	0	1
6025	Allobates_humilis	2	2.345167566	2.345167566	9	-70.5	24.1686765	28.83018648	0.042291675	0.296	0.95	0	0
6026	Batrachylodes_elegans	4	0.660012861	0.660012861	-6	155	27.5934875	30.65159068	0.098582966	0	0	1	0
6027	Leptodactylus_sabanensis	4	0.218175169	0.218175169	5	-61	21.74100768	26.34129196	0.527131972	0	0	1	0
6028	Scinax_boesemani	396	1.074316722	1.074316722	-2.684343434	-60.29040404	24.72631256	29.25360979	0.087794121	0	0	1	0
6029	Pseudoeurycea_aurantia	1	1.568505502	1.568505502	17.5	-96.5	18.35833029	22.51980332	0.057677072	0	0.413	1	0
6030	Boophis_doulioti	39	1.927891106	1.927891106	-20.73076923	45.34615385	23.56796086	27.03201157	0.04278115	0.261	0.935	0	0
6031	Eleutherodactylus_thomasi	2	1.31672966	1.31672966	22.5	-79.5	25.69564307	28.88017725	0.060462946	0	0.324	1	0
6032	Limnodynastes_terraereginae	93	4.106154026	4.106154026	-23.51075269	148.1666667	20.44590518	23.97395585	0.017900219	1	1	0	1
6033	Pristimantis_uisae	2	2.240988113	2.240988113	6	-73.5	17.77812718	22.07912512	0.044633529	0.199	0.905	0	0
6034	Pseudoeurycea_tlahcuiloh	1	1.32929486	1.32929486	17.5	-100.5	23.12267789	27.40144845	0.064376546	0	0.194	1	0
6035	Dendrobates_leucomelas	86	1.900350633	1.900350633	4.011627907	-63.68604651	23.90854804	28.43014358	0.056651144	0	0.501	0	0
6036	Theloderma_bambusicolum	2	1.323966569	1.323966569	11	106.5	25.35203915	28.53160612	0.060038657	0	0.317	1	0
6037	Incilius_spiculatus	1	1.148818413	1.148818413	17.5	-96.5	18.35833029	22.51980332	0.080497646	0	0.007	1	0
6038	Heleophryne_regis	6	1.270990258	1.270990258	-34	23.5	17.67354511	20.67671784	0.051366534	0.018	0.67	0	0
6039	Pristimantis_buckleyi	7	5.060121625	5.060121625	1.214285714	-77.35714286	19.24107103	23.0705671	0.01576665	1	1	0	1
6040	Rana_chensinensis	373	5.10409558	5.10409558	41.48123324	118.2882038	5.466099566	10.7541464	0.023546362	0.97	1	0	1
6041	Limnodynastes_interioris	30	2.138567068	2.138567068	-33.63333333	147.2666667	14.96703709	18.97428957	0.039037554	0.402	0.984	0	1
6042	Bolitoglossa_mulleri	1	1.952040374	1.952040374	15.5	-90.5	22.17610387	26.20604102	0.04801103	0.103	0.807	0	0
6043	Hyperolius_bobirensis	2	3.395196751	3.395196751	6	-2	24.89533581	28.36777493	0.024351202	0.969	1	0	1
6044	Oreophrynella_dendronastes	1	0.95146826	0.95146826	5.5	-59.5	22.54779869	26.64529463	0.091627612	0	0	1	0
6045	Plectrohyla_ixil	2	2.022731012	2.022731012	16.5	-92	23.15112044	27.32158215	0.045817722	0.18	0.881	0	0
6046	Gracixalus_jinxiuensis	1	1.20399668	1.20399668	24.5	110.5	18.13420716	22.35116189	0.074520505	0	0.024	1	0
6047	Pseudophilautus_frankenbergi	2	0.705568887	0.705568887	6.5	81	26.5549838	29.62451848	0.096676431	0	0	1	0
6048	Hylarana_celebensis	15	1.36348724	1.36348724	-0.833333333	120.3666667	25.87858199	29.23371952	0.052355389	0.015	0.657	0	0
6049	Syncope_bassleri	175	1.180857007	1.180857007	-6.917142857	-68.16857143	24.87203711	29.50086542	0.085214977	0	0	1	0
6050	Dendropsophus_coffeus	1	1.22759152	1.22759152	-15.5	-67.5	17.13871566	21.81421741	0.092894604	0	0	1	0
6051	Crossodactylus_cyclospinus	1	1.151939236	1.151939236	-15.5	-40.5	22.1397974	25.86667041	0.067402156	0	0.112	1	0
6052	Syncope_antenori	53	3.6600582	3.6600582	-5.971698113	-74.5	22.22458668	26.65840507	0.026920145	0.921	1	0	1
6053	Raorchestes_griet	1	3.23505991	3.23505991	10.5	77.5	24.3327451	27.89788118	0.022958978	0.967	1	0	1
6054	Bolitoglossa_ramosi	6	0.93074251	0.93074251	5.5	-75	18.32897583	22.5155469	0.09778474	0	0	1	0
6055	Hypsiboas_alemani	6	2.250633894	2.250633894	10.5	-68.83333333	25.53802936	28.70365181	0.029303063	0.845	1	0	1
6056	Duttaphrynus_totol	1	1.860921656	1.860921656	-0.5	110.5	25.15479495	28.78954895	0.043404466	0.231	0.924	0	0
6057	Phrynobatrachus_njiomock	1	3.428580699	3.428580699	5.5	9.5	22.10286176	25.76966152	0.024306372	0.971	1	0	1
6058	Atelopus_galactogaster	1	1.834607099	1.834607099	7.5	-76.5	24.28506529	28.20277182	0.047454381	0.104	0.807	0	0
6059	Dendropsophus_gaucheri	2	5.891586419	5.891586419	5.5	-53.5	26.3447794	29.66857035	0.012536865	1	1	0	1
6060	Hyalinobatrachium_munozorum	4	4.570085845	4.570085845	-7.25	-66.75	22.67864507	27.28332468	0.022899309	0.986	1	0	1
6061	Caecilia_attenuata	1	0.301903387	0.301903387	-0.5	-77.5	18.31350183	22.32056033	0.316015516	0	0	1	0
6062	Brachytarsophrys_chuannanensis	1	1.606669986	1.606669986	28.5	104.5	14.35520876	18.79699308	0.062831599	0	0.234	1	0
6063	Plectrohyla_guatemalensis	17	1.204235765	1.204235765	14.79411765	-88.79411765	23.64764172	27.3685827	0.06717125	0	0.128	1	0
6064	Centrolene_fernandoi	1	2.253992309	2.253992309	-6.5	-76.5	19.64942224	24.21736514	0.041359203	0.306	0.971	0	1
6065	Pseudoeurycea_lineola	4	0.67398668	0.67398668	19	-97	17.26525941	21.23248588	0.136888582	0	0	1	0
6066	Oreophryne_insulana	1	2.769727157	2.769727157	-9.5	150.5	26.58031234	29.63346162	0.025635547	0.928	1	0	1
6067	Kaloula_indochinensis	1	1.466956679	1.466956679	14.5	108.5	23.69337239	26.81185679	0.044287896	0.213	0.919	0	0
6068	Elachistocleis_muiraquitan	1	2.361020277	2.361020277	-10.5	-68.5	25.79387172	30.62807769	0.0426564	0.243	0.943	0	0
6069	Ichthyophis_elongatus	8	1.151939236	1.151939236	-1.25	100	25.94698233	29.13866021	0.057722914	0	0.421	1	0
6070	Atelopus_nahumae	2	2.414758012	2.414758012	10.5	-74	27.0207318	30.56855244	0.029384482	0.853	1	0	1
6071	Allopaa_barmoachensis	1	0.261030059	0.261030059	33.5	74.5	14.33305726	19.15721795	0.429796415	0	0	1	0
6072	Plectrohyla_calvicollina	1	2.93782396	2.93782396	17.5	-96.5	18.35833029	22.51980332	0.029510739	0.844	1	0	1
6073	Theloderma_nagalandense	1	1.31672966	1.31672966	25.5	94.5	19.19804221	23.38395601	0.070644954	0	0.073	1	0
6074	Pristimantis_loujosti	1	0.574154312	0.574154312	-0.5	-77.5	18.31350183	22.32056033	0.142429835	0	0	1	0
6075	Bolitoglossa_aureogularis	1	1.843593611	1.843593611	9.5	-83.5	25.17304807	28.23196864	0.03606992	0.562	1	0	1
6076	Atelopus_carbonerensis	1	1.542012584	1.542012584	8.5	-71.5	22.52822898	27.6579632	0.077363924	0	0.009	1	0
6077	Tepuihyla_aecii	1	2.279284367	2.279284367	3.5	-65.5	21.94566609	26.59088017	0.047395681	0.094	0.792	0	0
6078	Ameerega_pongoensis	4	1.626632109	1.626632109	-7	-76	20.97346044	25.53514788	0.059667567	0	0.331	1	0
6079	Leptolalax_aereus	10	1.40367873	1.40367873	17.5	105.6	22.18039661	25.59968483	0.048718958	0.063	0.767	0	0
6080	Physalaemus_rupestris	1	11.22217426	11.22217426	-21.5	-43.5	17.96832321	21.80252728	0.008333249	1	1	0	1
6081	Oreolalax_popei	14	3.145079949	3.145079949	31.78571429	104.2142857	7.153224895	11.76356033	0.03575337	0.548	0.998	0	1
6082	Leptolalax_fritinniens	1	4.259350506	4.259350506	4.5	114.5	25.09856828	28.47172513	0.018417246	1	1	0	1
6083	Guibemantis_flavobrunneus	17	1.844370674	1.844370674	-18.55882353	48.5	21.42480566	24.65955226	0.042776791	0.245	0.933	0	0
6084	Cryptotriton_sierraminensis	1	1.860921656	1.860921656	15.5	-89.5	22.85534487	26.70507552	0.051718065	0.018	0.667	0	0
6085	Pristimantis_leucorrhinus	1	2.717211814	2.717211814	-9.5	-74.5	22.99189207	27.69768621	0.043296166	0.209	0.916	0	0
6086	Neobatrachus_pictus	51	1.296019315	1.296019315	-34.28431373	139.4019608	16.74004931	20.67626086	0.06902625	0	0.094	1	0
6087	Litoria_electrica	19	0.569606191	0.569606191	-20.18421053	140.1842105	24.63771768	28.21363866	0.149473403	0	0	1	0
6088	Pristimantis_pecki	1	0.812462698	0.812462698	-3.5	-78.5	21.30108484	25.17366604	0.099301513	0	0	1	0
6089	Syncope_jimi	1	2.204097388	2.204097388	-5.5	-57.5	24.95345824	29.58205273	0.043749905	0.201	0.918	0	0
6090	Vitreorana_gorzulae	1	0.907413947	0.907413947	5.5	-62.5	21.05340446	25.99058036	0.136023254	0	0	1	0
6091	Nasikabatrachus_sahyadrensis	2	3.157137394	3.157137394	9.5	77	25.69740619	29.08023048	0.022797546	0.983	1	0	1
6092	Eleutherodactylus_etheridgei	1	1.568505502	1.568505502	19.5	-75.5	26.30097617	29.30473131	0.039082506	0.403	0.989	0	1
6093	Bokermannohyla_sagarana	1	0.661356962	0.661356962	-17.5	-44.5	22.68242139	26.93967909	0.149701294	0	0	1	0
6094	Uraeotyphlus_menoni	1	0.952318805	0.952318805	9.5	76.5	26.10467218	29.43534649	0.07137625	0	0.052	1	0
6095	Caecilia_mertensi	3	1.210973234	1.210973234	-13.16666667	-57.5	25.35856059	30.07322806	0.097332198	0	0	1	0
6096	Gephyromantis_hintelmannae	1	1.712586121	1.712586121	-21.5	47.5	20.0729413	23.44104379	0.043703917	0.233	0.932	0	0
6097	Incilius_luetkenii	24	1.659052275	1.659052275	13.08333333	-88.25	25.07019951	28.6287094	0.042898105	0.252	0.948	0	0
6098	Adenomera_saci	1	2.107571024	2.107571024	-14.5	-47.5	23.34830179	27.56402126	0.047625571	0.101	0.833	0	0
6099	Pristimantis_petersi	5	0.916913775	0.916913775	1.5	-76.3	19.19915988	23.26758442	0.100842846	0	0	1	0
6100	Fejervarya_orissaensis	18	0.842381111	0.842381111	21	84.5	24.76346132	29.05529638	0.124265493	0	0	1	0
6101	Ichthyophis_tricolor	6	0.645731863	0.645731863	9.5	77	25.74266823	29.10344125	0.115657673	0	0	1	0
6102	Phrynomedusa_bokermanni	2	0.583145973	0.583145973	-24	-46.5	21.67497887	25.17490745	0.13337345	0	0	1	0
6103	Oophaga_occultator	1	1.668536133	1.668536133	2.5	-77.5	21.28333308	24.82313233	0.047144442	0.104	0.839	0	0
6104	Paedophryne_swiftorum	1	1.722939536	1.722939536	-6.5	146.5	21.01017537	24.31822934	0.040851188	0.363	0.979	0	1
6105	Theloderma_bicolor	2	5.20839796	5.20839796	22.5	104	17.25879645	21.19901275	0.017193458	1	1	0	1
6106	Rhacophorus_rufipes	7	3.442016191	3.442016191	2.214285714	113.7857143	24.19044462	27.80157149	0.021410843	0.991	1	0	1
6107	Guibemantis_bicalcaratus	30	1.793475514	1.793475514	-19.33333333	48.43333333	22.22567803	25.44914363	0.038241043	0.405	0.995	0	1
6108	Gephyromantis_spiniferus	5	1.971421255	1.971421255	-23.7	46.9	21.73086125	25.05526989	0.042157512	0.271	0.946	0	0
6109	Leptodactylus_melanonotus	167	2.527236339	2.527236339	15.50598802	-91.2245509	23.86250164	27.51654413	0.032130333	0.737	1	0	1
6110	Exerodonta_abdivita	1	1.287359131	1.287359131	18.5	-96.5	18.59805118	22.54082807	0.069606502	0	0.079	1	0
6111	Ixalotriton_parvus	1	3.930528769	3.930528769	16.5	-94.5	23.65880831	28.1297003	0.025851784	0.929	1	0	1
6112	Clinotarsus_curtipes	5	1.442674093	1.442674093	12.3	75.9	24.07832246	27.53372942	0.058418058	0	0.398	1	0
6113	Gastrotheca_griswoldi	6	1.273010114	1.273010114	-10.5	-76	14.93226824	19.3125342	0.076463842	0	0.012	1	0
